S,kernel,us,p20,p80,tflops,pct_peak,vs_flash
1024,eager,623.6159801483154,622.5919723510742,624.6399879455566,6.887198905612588,2.207435546670701,0.12479474391495755
1024,sdpa_flash,77.82399654388428,75.77600330114365,80.89599758386612,55.188212977190204,17.688529800381477,1.0
1024,ours_64/64,69.63200122117996,67.58400052785873,70.65600156784058,61.68094009473334,19.769532081645302,1.1176469895886398
1024,ours_best,69.63200122117996,68.60800087451935,71.68000191450119,61.68094009473334,19.769532081645302,1.1176469895886398
1024,ours_tuned,69.63200122117996,68.60800087451935,71.68000191450119,61.68094009473334,19.769532081645302,1.1176469895886398
4096,eager,9561.087608337402,9559.859466552734,9570.508766174316,7.187412096932953,2.3036577233759465,0.05023026782033503
4096,sdpa_flash,480.25599122047424,472.8831946849823,486.4000082015991,143.0892648759326,45.86194387049122,1.0
4096,ours_64/64,629.7600269317627,623.6159801483154,636.9280219078064,109.12009939850637,34.97439083285461,0.7626015794624452
4096,ours_best,627.7120113372803,621.5680241584778,634.880006313324,109.47612200314558,35.08850064203384,0.7650896948703194
4096,ours_tuned,626.6880035400391,620.5440163612366,633.8559985160828,109.65500591652783,35.145835229656356,0.7663398509427358
8192,eager,40494.590759277344,40491.825866699226,40497.35565185546,6.788015430950496,2.1756459714584926,0.04155972361275782
8192,sdpa_flash,1682.9439997673035,1668.7103509902954,1698.815941810608,163.33158262069722,52.34986622458244,1.0
8192,ours_64/64,2276.863932609558,2259.968042373657,2301.132869720459,120.72654101422611,38.69440417122632,0.7391500105315686
8192,ours_best,2295.8080768585205,2285.5679988861084,2309.119939804077,119.73035103183817,38.37511251020454,0.7330508228153668
8192,ours_tuned,2289.6640300750732,2282.4959754943848,2298.4704971313477,120.05163348571595,38.478087655678195,0.7350178793314596
